설치장소명,세부위치내용,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,수거품목명,수거함수량,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
가회초등학교,,경상남도,합천군,경상남도 합천군 가회면 황매산로 58-2,경상남도 합천군 가회면 덕촌리 389,35.43507835,128.0344205,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
가회면사무소,,경상남도,합천군,경상남도 합천군 가회면 황매산로 52,경상남도 합천군 가회면 덕촌리 385-2,35.4351968,128.0336808,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
삼가빌라,,경상남도,합천군,경상남도 합천군 삼가면 금리3길 22-4,경상남도 합천군 삼가면 금리 83,35.41540611,128.1204387,형광등,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
체육공원,,경상남도,합천군,경상남도 합천군 삼가면 용흥길 20,경상남도 합천군 삼가면 소오리 45,35.40798761,128.1210414,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
강성마을회관,,경상남도,합천군,경상남도 합천군 삼가면 양전1길 46,경상남도 합천군 삼가면 양전리 673,35.42415105,128.1299296,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
금천마을회관,,경상남도,합천군,경상남도 합천군 삼가면 남명로 360,경상남도 합천군 삼가면 학리 701,35.39761866,128.0908195,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
옥동마을회관,,경상남도,합천군,경상남도 합천군 삼가면 남명로 424,경상남도 합천군 삼가면 학리 414-2,35.40215606,128.0947885,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
송곡마을회관,,경상남도,합천군,경상남도 합천군 삼가면 송곡길 44,경상남도 합천군 삼가면 덕진리 448,35.41260071,128.078599,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
지동마을회관,,경상남도,합천군,경상남도 합천군 삼가면 하판4길 16,경상남도 합천군 삼가면 하판리 1559,35.44641732,128.1053204,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
하판마을회관,,경상남도,합천군,경상남도 합천군 삼가면 하판1길 6-4,경상남도 합천군 삼가면 하판리 953-1,35.42426765,128.1113055,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
교동마을회관,,경상남도,합천군,경상남도 합천군 삼가면 소오2길 2,경상남도 합천군 삼가면 소오리 181-1,35.40777014,128.1190296,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
삼가시장,,경상남도,합천군,경상남도 합천군 삼가면 일부5길 2,경상남도 합천군 삼가면 일부리 921-5,35.41266923,128.1228855,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
원금마을회관,,경상남도,합천군,경상남도 합천군 삼가면 금리1길 38,경상남도 합천군 삼가면 금리 505-7,35.41752054,128.1166178,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
신평마을회관,,경상남도,합천군,경상남도 합천군 삼가면 모의로 59,경상남도 합천군 삼가면 어전리 966,35.38418348,128.1224826,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
신점마을회관,,경상남도,합천군,경상남도 합천군 삼가면 외토4길 73,경상남도 합천군 삼가면 외토리 255-1,35.3740217,128.1019676,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
안동마을회관,,경상남도,합천군,경상남도 합천군 삼가면 외토1길 13-2,경상남도 합천군 삼가면 외토리 810,35.38412913,128.0974991,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
어은마을회관,,경상남도,합천군,경상남도 합천군 삼가면 어전2길 10,경상남도 합천군 삼가면 어전리 934,35.39895755,128.1167902,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
제곡마을회관,,경상남도,합천군,경상남도 합천군 삼가면 외토4길 198,경상남도 합천군 삼가면 외토리 1187-5,35.3708243,128.0895701,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
삼가면사무소,,경상남도,합천군,경상남도 합천군 삼가면 삼가중앙2길 12-8,경상남도 합천군 삼가면 금리 62-6,35.41415572,128.1217656,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
한실경로당,,경상남도,합천군,경상남도 합천군 쌍백면 한실길 86,경상남도 합천군 쌍백면 대곡리 374-1,35.46883688,128.197916,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대곡리경로당,,경상남도,합천군,경상남도 합천군 쌍백면 평구묵골길 529,경상남도 합천군 쌍백면 대곡리 645-2,35.47051361,128.190516,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
죽전마을회관,,경상남도,합천군,경상남도 합천군 쌍백면 하안삼리길 168,경상남도 합천군 쌍백면 죽전리 315,35.44444213,128.1279437,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
안구마을회관,,경상남도,합천군,경상남도 합천군 쌍백면 평구1길 52,경상남도 합천군 쌍백면 평구리 835-2,35.43505787,128.1384942,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
원전마을경로당,,경상남도,합천군,경상남도 합천군 쌍백면 운곡4길 5,경상남도 합천군 쌍백면 운곡리 110-11,35.46108732,128.146259,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대현리경로당,,경상남도,합천군,경상남도 합천군 쌍백면 대현2길 19,경상남도 합천군 쌍백면 대현리 463-1,35.44659664,128.1934852,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
내초경로회관,,경상남도,합천군,경상남도 합천군 쌍백면 동리외초길 402,경상남도 합천군 쌍백면 외초리 1168-1,35.40947884,128.1719844,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
평지2구(중촌경로당),,경상남도,합천군,경상남도 합천군 쌍백면 청정로 273,경상남도 합천군 쌍백면 평지리 578-8,35.44040169,128.1732121,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
한실경노당,,경상남도,합천군,경상남도 합천군 쌍백면 한실길 86,경상남도 합천군 쌍백면 대곡리 374-1,35.46883688,128.197916,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
하신,,경상남도,합천군,경상남도 합천군 쌍백면 하신술곡길 14,경상남도 합천군 쌍백면 하신리 263-1,35.45666923,128.137586,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
평구1구,,경상남도,합천군,경상남도 합천군 쌍백면 평구5길 39,경상남도 합천군 쌍백면 평구리 139-1,35.44217668,128.1540286,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
쌍백면사무소,,경상남도,합천군,경상남도 합천군 쌍백면 쌍백중앙로 63,경상남도 합천군 쌍백면 평구리 523-1,35.44129189,128.1454099,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
쌍백초등학교,,경상남도,합천군,경상남도 합천군 쌍백면 평구3길 17,경상남도 합천군 쌍백면 평구리 531-3,35.44015213,128.1470455,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
남암경로당,,경상남도,합천군,경상남도 합천군 대양면 남암길 88,경상남도 합천군 대양면 덕정리 161,35.50846761,128.1891014,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
장지마을회관,,경상남도,합천군,경상남도 합천군 대양면 장지길 194,경상남도 합천군 대양면 무곡리 487-3,35.51805939,128.2010408,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
덕정리회관,,경상남도,합천군,경상남도 합천군 대양면 대한로 48,경상남도 합천군 대양면 덕정리 706-2,35.51421149,128.1784042,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
정양경로당(하회마을경로당),,경상남도,합천군,경상남도 합천군 대양면 정양2길 45,경상남도 합천군 대양면 정양리 293,35.54284044,128.1629948,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
오산경로당,,경상남도,합천군,경상남도 합천군 대양면 오산길 11,경상남도 합천군 대양면 오산리 410,35.49955876,128.2306767,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
도리경로당,,경상남도,합천군,경상남도 합천군 대양면 도리길 177-6,경상남도 합천군 대양면 도리 792-1,35.5006247,128.1436218,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
스위트캐슬 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대양면 동부로 32-22,경상남도 합천군 대양면 정양리 632,35.55469397,128.1639796,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
신거 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대양면 대야로 86,경상남도 합천군 대양면 양산리 588-12,35.5033523,128.1676339,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
안금후사경로당,,경상남도,합천군,경상남도 합천군 대양면 안금1길 96,경상남도 합천군 대양면 안금리 815,35.4901427,128.1823772,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
안금본동경로당,,경상남도,합천군,경상남도 합천군 대양면 안금길 221,경상남도 합천군 대양면 안금리 695-27,35.49592496,128.1851836,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
하니경로당,,경상남도,합천군,경상남도 합천군 대양면 하니길 123,경상남도 합천군 대양면 아천리 255-2,35.53207154,128.1788438,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
아천 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대양면 아천길 153-1,경상남도 합천군 대양면 아천리 495,35.53865594,128.1836992,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
내동경로당,,경상남도,합천군,경상남도 합천군 대양면 내동길 1,경상남도 합천군 대양면 백암리 366,35.49683565,128.2209649,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
상촌경로당,,경상남도,합천군,경상남도 합천군 대양면 상촌길 139,경상남도 합천군 대양면 백암리 176,35.50473814,128.2187679,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
백암 재활용동네마당,,경상남도,합천군,경상남도 합천군 대양면 백암1길 17,경상남도 합천군 대양면 백암리 543-1,35.49742572,128.212823,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
무곡할머니경로당,,경상남도,합천군,경상남도 합천군 대양면 무곡길 151,경상남도 합천군 대양면 무곡리 839,35.52174308,128.1869617,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
이계 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대양면 이계길 108,경상남도 합천군 대양면 대목리 940-2,35.51737103,128.1613677,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
이곡마을 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대양면 사곡길 24,경상남도 합천군 대양면 대목리 558-2,35.5216393,128.1668418,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대목경로당,,경상남도,합천군,경상남도 합천군 대양면 대목길 34,경상남도 합천군 대양면 대목리 330,35.52757398,128.1678857,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
누하마을회관,,경상남도,합천군,경상남도 합천군 적중면 누하길 25,경상남도 합천군 적중면 누하리 365-9,35.52859332,128.2674658,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
미타노인요양원,,경상남도,합천군,경상남도 합천군 적중면 우회로 1198,경상남도 합천군 적중면 옥두리 630-6,35.5512322,128.2929645,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
적중초등학교,,경상남도,합천군,경상남도 합천군 적중면 상중부우회길 115,경상남도 합천군 적중면 상부리 142-1,35.54620278,128.2814966,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
합천평화고등학교,,경상남도,합천군,경상남도 합천군 적중면 황정1길 37,경상남도 합천군 적중면 황정리 292,35.5399597,128.2843169,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
양림경로당,,경상남도,합천군,경상남도 합천군 적중면 양림길 27,경상남도 합천군 적중면 양림리 177-1,35.53808421,128.2672409,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
정토경로당,,경상남도,합천군,경상남도 합천군 적중면 정토양림길 10,경상남도 합천군 적중면 정토리 218-5,35.52998026,128.2568802,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
적중면사무소,,경상남도,합천군,경상남도 합천군 적중면 적중로 98,경상남도 합천군 적중면 상부리 16-1,35.54758218,128.2785692,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
시동마을회관,,경상남도,합천군,경상남도 합천군 적중면 시동길 10-2,경상남도 합천군 적중면 옥두리 289-4,35.54634058,128.3026297,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
죽고리마을회관,,경상남도,합천군,경상남도 합천군 적중면 죽고길 161,경상남도 합천군 적중면 죽고리 47-5,35.56356337,128.3059421,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
당산경로당,,경상남도,합천군,경상남도 합천군 적중면 당산길 6-12,경상남도 합천군 적중면 옥두리 99-1,35.54172018,128.3022955,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
부수마을회관,,경상남도,합천군,경상남도 합천군 적중면 부수길 28-2,경상남도 합천군 적중면 황정리 407,35.54415126,128.2871953,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
두방마을경로당,,경상남도,합천군,경상남도 합천군 적중면 두방길 61,경상남도 합천군 적중면 두방리 498-2,35.53314874,128.2918939,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
중부할머니경로당,,경상남도,합천군,경상남도 합천군 적중면 중부2길 30-6,경상남도 합천군 적중면 상부리 219-1,35.54509855,128.2792094,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
상부마을회관,,경상남도,합천군,경상남도 합천군 적중면 상부1길 30,경상남도 합천군 적중면 상부리 811-2,35.54759798,128.2754609,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
명곡마을회관,,경상남도,합천군,경상남도 합천군 적중면 명곡1길 19,경상남도 합천군 적중면 누하리 317,35.52868319,128.2707445,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
이곡마을 쓰레기배출장,,경상남도,합천군,경상남도 합천군 청덕면 정동길 113,경상남도 합천군 청덕면 초곡리 397-1,35.51367737,128.3294984,형광등,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
부곡마을회관,,경상남도,합천군,경상남도 합천군 청덕면 대부2길 27-14,경상남도 합천군 청덕면 대부리 994,35.53401073,128.3374128,형광등,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
합천동부농협 덕곡지점 하나로마트,,경상남도,합천군,경상남도 합천군 덕곡면 율지2길 1,경상남도 합천군 덕곡면 율지리 138-5,35.61543243,128.3584323,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
덕곡면사무소,,경상남도,합천군,경상남도 합천군 덕곡면 율지2길 11,경상남도 합천군 덕곡면 율지리 143-2,35.61516118,128.3591181,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
분곡마을 가봉동,,경상남도,합천군,경상남도 합천군 덕곡면 본곡2길 30,경상남도 합천군 덕곡면 본곡리 475-1,35.64166416,128.3126373,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
분곡마을 사정동,,경상남도,합천군,경상남도 합천군 덕곡면 본곡1길 29,경상남도 합천군 덕곡면 본곡리 238-1,35.63387709,128.3152539,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
초계초등학교 덕곡분교,,경상남도,합천군,경상남도 합천군 덕곡면 오광대로 711,경상남도 합천군 덕곡면 장리 761,35.62942312,128.321051,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
율지마을,,경상남도,합천군,경상남도 합천군 덕곡면 율지2길 26,경상남도 합천군 덕곡면 율지리 90-2,35.61431251,128.3586711,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
북동마을,,경상남도,합천군,경상남도 합천군 덕곡면 포두2길 18,경상남도 합천군 덕곡면 포두리 652-1,35.64180388,128.3484685,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
개독마을,,경상남도,합천군,경상남도 합천군 덕곡면 학리2길 31,경상남도 합천군 덕곡면 학리 302-1,35.62622035,128.3516469,형광등+건전지,2,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
학동마을,,경상남도,합천군,경상남도 합천군 덕곡면 학리1길 75-6,경상남도 합천군 덕곡면 학리 547,35.62511744,128.3475291,건전지,2,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
남재마을,,경상남도,합천군,경상남도 합천군 덕곡면 오광대로 971,경상남도 합천군 덕곡면 병배리 72-1,35.62030683,128.3452915,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
장동마을,,경상남도,합천군,경상남도 합천군 덕곡면 장리5길 20,경상남도 합천군 덕곡면 장리 531-2,35.62488318,128.3263733,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대동마을,,경상남도,합천군,경상남도 합천군 덕곡면 장리2길 3,경상남도 합천군 덕곡면 장리 512-1,35.62790831,128.3218447,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
상대마을,,경상남도,합천군,경상남도 합천군 덕곡면 장리1길 25,경상남도 합천군 덕곡면 장리 1000-3,35.62838757,128.3158776,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
율원마을,,경상남도,합천군,경상남도 합천군 덕곡면 율원2길 19-14,경상남도 합천군 덕곡면 율원리 406,35.64019894,128.2905291,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
덕봉마을,,경상남도,합천군,경상남도 합천군 쌍책면 덕봉1길 192,경상남도 합천군 쌍책면 덕봉리 242-1,35.60298536,128.2788032,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
오서마을,,경상남도,합천군,경상남도 합천군 쌍책면 오서3길 74,경상남도 합천군 쌍책면 오서리 590,35.57485924,128.2711657,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
계촌마을,,경상남도,합천군,경상남도 합천군 쌍책면 다라1길 39,경상남도 합천군 쌍책면 다라리 870-2,35.58129193,128.2896985,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
원촌마을,,경상남도,합천군,경상남도 합천군 쌍책면 상신3길 9-10,경상남도 합천군 쌍책면 상신리 661,35.63549499,128.2544929,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
박곡마을,,경상남도,합천군,경상남도 합천군 쌍책면 상신3길 115,경상남도 합천군 쌍책면 상신리 217-6,35.63617666,128.2658808,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
이책골1937 체험휴양마을,,경상남도,합천군,경상남도 합천군 쌍책면 쌍쌍로 10,경상남도 합천군 쌍책면 하신리 169-1,35.62191739,128.2539824,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
신촌마을 회전교차로,,경상남도,합천군,경상남도 합천군 쌍책면 황강옥전로 931-2,경상남도 합천군 쌍책면 하신리 163,35.62082929,128.253789,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
쌍책농협 쓰레기배출장,,경상남도,합천군,경상남도 합천군 쌍책면 성산큰길 13,경상남도 합천군 쌍책면 성산리 37-1,35.57516275,128.2862881,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
도방마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 상신2길 55-2,경상남도 합천군 쌍책면 상신리 1063-1,35.63758206,128.2496092,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
창동마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 상신1길 33,경상남도 합천군 쌍책면 상신리 787-2,35.62906955,128.2504463,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
건태마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 건태2길 2,경상남도 합천군 쌍책면 건태리 637-1,35.60852612,128.2537333,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
사양마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 오광대로 129-1,경상남도 합천군 쌍책면 사양리 424,35.6263153,128.2732644,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
중촌마을 폐비닐집하장,,경상남도,합천군,경상남도 합천군 쌍책면 다라2길 39,경상남도 합천군 쌍책면 다라리 536-1,35.58104347,128.2923316,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
상포마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 상포1길 186,경상남도 합천군 쌍책면 상포리 248,35.58401684,128.2672136,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
관수마을회관,,경상남도,합천군,경상남도 합천군 쌍책면 상포1길 126-14,경상남도 합천군 쌍책면 상포리 99-1,35.58281082,128.2738896,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
